pathway,pval,padj,log2err,ES,NES,size,leadingEdge
BIOCARTA_41BB_PATHWAY,0.03700395658796276,0.11467160173412635,0.3217759180753611,0.5981833409950498,1.5526936543988688,15,
BIOCARTA_AGR_PATHWAY,0.574468085106383,0.8450074515648287,0.06598161440087301,0.2954278821652126,0.9242415979303221,32,
BIOCARTA_AKT_PATHWAY,0.019655459671430068,0.07203862483118997,0.35248785758361917,0.57858706331567,1.6344141924440914,21,
BIOCARTA_ALK_PATHWAY,1.0529858168584175e-4,0.0011056351077013385,0.5384340963099162,0.6335458536125412,2.006999945628877,34,
BIOCARTA_AMI_PATHWAY,0.03973035615326886,0.12121750084474918,0.3217759180753611,0.5988057120322223,1.593482254050229,16,
BIOCARTA_ARAP_PATHWAY,0.9484732824427481,1,0.045953808103906306,0.23170743627045304,0.6238029798160212,17,
BIOCARTA_ARENRF2_PATHWAY,0.05609284332688588,0.15652249130791024,0.26635065708852557,0.5447600762902619,1.5055466826189876,19,
BIOCARTA_ARF_PATHWAY,0.07824427480916031,0.20111223759541985,0.22205604614524838,0.5359417665025824,1.4428629323831734,17,
BIOCARTA_AT1R_PATHWAY,0.5989110707803993,0.8694967008283027,0.06508775669173134,0.298950077651975,0.9000901520742839,27,
BIOCARTA_ATM_PATHWAY,0.08897485493230174,0.21954545454545454,0.2089550275493539,0.5064770729945587,1.3997444200797862,19,
BIOCARTA_ATRBRCA_PATHWAY,0.3837429111531191,0.6427256255097605,0.09054289484694737,0.37420444479575526,1.0570665924415246,21,
BIOCARTA_BAD_PATHWAY,0.4510166358595194,0.7226516551840027,0.08041999687615399,0.34996312721246664,1.006025008552944,22,
BIOCARTA_BARRESTIN_SRC_PATHWAY,0.5760456273764258,0.8464270962412226,0.06928364673925483,0.33801715360129736,0.899497658431244,16,
BIOCARTA_BCELLSURVIVAL_PATHWAY,0.06782945736434108,0.18020908322639204,0.24133997681509095,0.5778088505602149,1.4998079589243767,15,
BIOCARTA_BCR_PATHWAY,0.02736057006087787,0.09123271165569749,0.35248785758361917,0.4944372699989592,1.5512852889186164,33,
BIOCARTA_BIOPEPTIDES_PATHWAY,0.9981818181818182,1,0.041404427376027834,0.13965956132663127,0.4224344091370446,28,
BIOCARTA_CALCINEURIN_PATHWAY,0.24612403100775193,0.46941916638579934,0.11988784511542344,0.4350390753542491,1.1821234201715678,18,
BIOCARTA_CARDIACEGF_PATHWAY,0.015560431403502288,0.059875812067277816,0.3807304007227924,0.6291495958118739,1.6937971389032145,17,
BIOCARTA_CARM_ER_PATHWAY,0.8986866791744841,1,0.047638725929082505,0.23458769866723683,0.6870991509449565,25,
BIOCARTA_CASPASE_PATHWAY,0.002162834544970496,0.012706652951701664,0.4317076958033464,0.6378453909976483,1.8335886413093132,22,
BIOCARTA_CCR3_PATHWAY,0.6638655462184874,0.9280953174470921,0.06720650937104644,-0.31960844270502226,-0.866222249623263,16,
BIOCARTA_CCR5_PATHWAY,0.11641221374045801,0.2697156219761316,0.1797823162983236,0.5079850596374301,1.3675978596300946,17,
BIOCARTA_CDMAC_PATHWAY,0.20152091254752852,0.4026324047278686,0.13284630060618333,0.4649111722067603,1.2371754105466815,16,
